match_id,A,B
Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,Carolina Marin,Pornpawee Chochuwong
Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,Carolina Marin,Supanida Katethong
Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,Evgeniya Kosetskaya,Michelle Li
Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,Hans-Kristian Solberg Vittinghus,Anders Antonsen
Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,Hans-Kristian Solberg Vittinghus,Lee Cheuk Yiu
Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,Kento Momota,Chou Tien Chen
Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,Kento Momota,Chou Tien Chen
Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,Kento Momota,Chou Tien Chen
Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,Kento Momota,Chou Tien Chen
Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,Kento Momota,Chou Tien Chen
Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,Kento Momota,Viktor Axelsen
Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,Mia Blichfeldt,Busanan Ongbamrungphan
NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,Ng Ka Long Angus,Jonatan Christie
NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,Ng Ka Long Angus,Shi Yu Qi
Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,Ng Ka Long Angus,Kidambi Srikanth
Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,Ng Ka Long Angus,Lee Cheuk Yiu
Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,Pusarla V. Sindhu,Pornpawee Chochuwong
Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,Ratchanok Intanon,Pusarla V. Sindhu
Viktor_AXELSEN _SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,Viktor Axelsen,Shi Yu Qi
Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,Viktor Axelsen,Chen Long
Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,Viktor Axelsen,Ng Ka Long Angus
Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals,Viktor Axelsen,Anthony Sinisuka Ginting
Viktor_Axelsen_Hans-Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,Viktor Axelsen,Hans-Kristian Solberg Vittinghus
Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,Viktor Axelsen,Jonatan Christie
Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,Viktor Axelsen,Liew Daren
Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,Viktor Axelsen,Ng Ka Long Angus
